tax_id;species;copies
1;Corynebacterium propinquum;3
2;Staphylococcus aureus;6
3;Dolosigranulum pigrum;4
4;Corynebacterium accolens;4
5;Staphylococcus epidermidis;6
6;Cutibacterium avidum;3
7;Cutibacterium acnes;3
8;Klebsiella oxytoca;8
9;Moraxella osloensis;4
10;Corynebacterium tuberculostearicum;4
77;Corynebacterium pseudodiphtheriticum;3
11;Finegoldia magna;4
12;Anaerococcus octavius;4
13;Enterococcus faecalis;4
14;Staphylococcus capitis;6
15;Staphylococcus warnerii;6
16;Staphylococcus lugdunensis;7
17;Proteus mirabilis;7
18;Staphylococcus hominis;6
19;Bacillus cereus;14
20;Staphylococcus haemolyticus;6
21;Micrococcus luteus;2
22;Cutibacterium granolosum;2
23;Peptoniphilus harei;3
24;Corynebacterium kefirresidentii;4
25;Bacillus subtilis;10
26;Enterococcus faecalis;4
27;Escherichia coli;8
28;Limosilactobacillus fermentum;5
29;Listeria monocytogenes;6
30;Pseudomonas aeruginosa;4
31;Salmonella enterica;6
32;Aeromicrobium fastidiosum;2
33;Arthrobacter humicola;5
34;Bacillus altitudinis;8
35;Bacillus subtilis;10
36;Flavobacterium pectinovorum;5
37;Frigoribacterium faeni;3
38;Methylobacterium goesingense;4
39;Microbacterium proteolyticum;2
40;Nocardioides cavernae;5
41;Paenibacillus amylolyticus;12
42;Pseudomonas koreensis;6
43;Rhizobium skierniewicense;4
44;Sphingomonas faeni;4
45;Dioszegia hungarica;35
46;Rhodotorula kratochvilovae;1
47;Sporobolomyces roseus;1
48;Phocaeicola vulgatus;7
49;Fusobacterium nucleatum;5
50;Enterocloster bolteae;3
51;Clostridium perfringens;8
52;Clostridium saccharolyticum;6
53;Streptococcus salivarius;6
54;Mediterraneibacter gnavus;5
55;Coprococcus comes;6
56;Parabacteroides merdae;6
57;Streptococcus parasanguinis;4
58;Collinsella aerofaciens;5
59;Bacteroides uniformis;4
60;Dorea formicigenerans;6
70;Bacteroides fragilis;6
71;Bacteroides thetaiotaomicron;5
72;Thomasclavelia ramosa;5
73;Agathobacter rectalis;5
74;Roseburia intestinalis;6
75;Veillonella parvula;4
76;Eggerthella lenta;2
