Species Strain,Replicate,OD
Anaerococcus octavius 133,1,0.0
Anaerococcus octavius 133,2,0.0
Anaerococcus octavius 133,3,0.0
Anaerococcus octavius 211,1,0.0
Anaerococcus octavius 211,2,0.0
Anaerococcus octavius 211,3,0.0
Anaerococcus octavius 259,1,0.0
Anaerococcus octavius 259,2,0.0
Anaerococcus octavius 259,3,0.0
Corynebacterium accolens 157,1,0.02
Corynebacterium accolens 157,2,0.02
Corynebacterium accolens 157,3,0.03
Corynebacterium accolens 184,1,0.02
Corynebacterium accolens 184,2,0.03
Corynebacterium accolens 184,3,0.02
Corynebacterium accolens 99,1,0.02
Corynebacterium accolens 99,2,0.02
Corynebacterium accolens 99,3,0.02
Corynebacterium propinquum 16,1,0.22
Corynebacterium propinquum 16,2,0.27
Corynebacterium propinquum 16,3,0.4
Corynebacterium propinquum 70,1,0.05
Corynebacterium propinquum 70,2,0.09
Corynebacterium propinquum 70,3,0.06
Corynebacterium propinquum 265,1,0.25
Corynebacterium propinquum 265,2,0.37
Corynebacterium propinquum 265,3,0.42
Corynebacterium pseudodiphtheriticum 242,1,0.23
Corynebacterium pseudodiphtheriticum 242,2,0.35
Corynebacterium pseudodiphtheriticum 242,3,0.27
Corynebacterium pseudodiphtheriticum DSM44287,1,0.07
Corynebacterium pseudodiphtheriticum DSM44287,2,0.08
Corynebacterium pseudodiphtheriticum DSM44287,3,0.04
Corynebacterium pseudodiphtheriticum 244,1,0.19
Corynebacterium pseudodiphtheriticum 244,2,0.25
Corynebacterium pseudodiphtheriticum 244,3,0.16
Corynebacterium tuberculostearicum 102,1,0.02
Corynebacterium tuberculostearicum 102,2,0.03
Corynebacterium tuberculostearicum 102,3,0.02
Corynebacterium tuberculostearicum 223,1,0.04
Corynebacterium tuberculostearicum 223,2,0.02
Corynebacterium tuberculostearicum 223,3,0.02
Corynebacterium tuberculostearicum DSM44922,1,0.02
Corynebacterium tuberculostearicum DSM44922,2,0.02
Corynebacterium tuberculostearicum DSM44922,3,0.03
Cutibacterium acnes 33,1,0.0
Cutibacterium acnes 33,2,0.0
Cutibacterium acnes 33,3,0.0
Cutibacterium acnes 86,1,0.0
Cutibacterium acnes 86,2,0.0
Cutibacterium acnes 86,3,0.0
Cutibacterium acnes 149,1,0.0
Cutibacterium acnes 149,2,0.0
Cutibacterium acnes 149,3,0.0
Cutibacterium avidum 181,1,0.02
Cutibacterium avidum 181,2,0.03
Cutibacterium avidum 181,3,0.02
Cutibacterium avidum 208,1,0.03
Cutibacterium avidum 208,2,0.04
Cutibacterium avidum 208,3,0.03
Cutibacterium avidum 32,1,0.02
Cutibacterium avidum 32,2,0.03
Cutibacterium avidum 32,3,0.05
Dolosigranulum pigrum 21,1,0.02
Dolosigranulum pigrum 21,2,0.02
Dolosigranulum pigrum 21,3,0.02
Dolosigranulum pigrum 245,1,0.02
Dolosigranulum pigrum 245,2,0.02
Dolosigranulum pigrum 245,3,0.02
Dolosigranulum pigrum 61,1,0.03
Dolosigranulum pigrum 61,2,0.03
Dolosigranulum pigrum 61,3,0.02
Staphylococcus aureus USA300,1,0.6
Staphylococcus aureus USA300,2,0.52
Staphylococcus aureus USA300,3,0.58
Staphylococcus epidermidis 231,1,0.03
Staphylococcus epidermidis 231,2,0.04
Staphylococcus epidermidis 231,3,0.03
Staphylococcus epidermidis 251,1,0.02
Staphylococcus epidermidis 251,2,0.03
Staphylococcus epidermidis 251,3,0.02
Staphylococcus epidermidis 28,1,0.04
Staphylococcus epidermidis 28,2,0.03
Staphylococcus epidermidis 28,3,0.04
Staphylococcus lugdunensis 115,1,0.19
Staphylococcus lugdunensis 115,2,0.17
Staphylococcus lugdunensis 115,3,0.2
Staphylococcus lugdunensis 239,1,0.13
Staphylococcus lugdunensis 239,2,0.11
Staphylococcus lugdunensis 239,3,0.14
Staphylococcus lugdunensis 81,1,0.08
Staphylococcus lugdunensis 81,2,0.08
Staphylococcus lugdunensis 81,3,0.04
Anaerococcus octavius 133 (anaerobic),1,0.03
Anaerococcus octavius 133 (anaerobic),2,0.04
Anaerococcus octavius 211 (anaerobic),1,0.04
Anaerococcus octavius 211 (anaerobic),2,0.03
Anaerococcus octavius 259 (anaerobic),1,0.04
Anaerococcus octavius 259 (anaerobic),2,0.03
Cutibacterium acnes 33 (anaerobic),1,0.02
Cutibacterium acnes 33 (anaerobic),2,0.04
Cutibacterium acnes 86 (anaerobic),1,0.03
Cutibacterium acnes 86 (anaerobic),2,0.04
Cutibacterium acnes 149 (anaerobic),1,0.04
Cutibacterium acnes 149 (anaerobic),2,0.05
