metabolite,CPR1_1,CPR1_2,CPR1_3,CPR2_1,CPR2_2,CPR2_3,CPR3_1,CPR3_2,CPR3_3,CTRL_1,CTRL_2,CTRL_3,SAU_1,SAU_2,SAU_3,SynCom12_1,SynCom12_2,SynCom12_3,SynCom20_1,SynCom20_2,SynCom20_3,SynCom28_1,SynCom28_2,SynCom28_3,SynCom43_1,SynCom43_2,SynCom43_3,SynCom7_1,SynCom7_2,SynCom7_3
Ornithine,6013.26025390992,21459.0410155998,24338.2011719,323684.1875,191827.906249999,233139.953124998,104267.546874999,7178.60058594,13549.2011719,998069.5,761686.5625,759602.4375,745612.125,711958.875,856754.687499985,2343.80004883,2277.76025391,1814.40014648,9831.74023438,7054.58056641,6470.60058593999,53774.984375,136428.03125,173225.21875,272890.906249996,403668.593749995,253067.171875,5748.56054688,3810.94018554998,3219.84033203
Hypoxanthine,200.300018311,289.360015869,229.22001638233,198.532898736617,165.384970088881,114.620010349891,250.820022439883,230.740020600986,226.500015259,1091.30004883,876.940063176683,511.460021770471,1153.80004836205,861.360045977208,931.661140818712,682.500060872572,1163.66003418,689.420043780384,209069.531217719,172342.796869918,296834.375,63202.7463651656,67256.703125,66668.2031231937,12124.1419832663,13801.0810514844,7540.56252123523,2471.66015625,10107.5315532686,11387.0605446839
Glutamic acid,109700.585938,266450.40625,269074.34375,215032.296875,293233.3125,492467.15625,1010067.375,622083.1875,741242.062499996,774780.5625,985499.125,727785.75,170009.765625,225708.015625,186223.906249999,6600.140625,8855.4609375,7889.68066406,776539.25,327630.71875,223184.359374997,210615.1875,200292.78125,129713.1875,57984.9023438,40466.441406199,130564.25,25665.3027343994,28984.5429688,21457.6816406
Guanine,6081.24023408446,3177.07922160341,5234.16015625,1317.68005338448,1441.10009723669,409.480041503999,1521.63158564189,3652.07583812342,4255.78482723606,3784.92016601999,3183.46020462393,2660.70019433905,45928.6445294128,45482.4023379138,57005.7031249999,322290.499908729,218851.999957362,245624.421842552,270646.499936386,168488.749968478,457867.906129242,328347.937499999,327433.468691781,233963.968723845,60753.6445190373,77887.2265578258,37304.28125,196486.375,296977.312460824,290937.8125
Citrulline,10007.8808594,13569.2207031,14316.5605468997,10140.5605469,11987.1005859,10797.4804688,10097.1806641,6524.44042969,10308.9404296999,839.340087891,589.700012207,749.340026855,30530.7617187996,33340.7617188,38695.6210937998,101232.187499998,88626.5625,91591.1640625,167151.359374997,149822.046875,174456.40625,459212.71875,453295.499999996,678134.875,211642.640624998,269477.749999996,188765.03125,57322.84375,77902.703125,70434.765625
Thymidine,973.386637923828,2356.58007745023,2149.72021433538,610.780029297,908.520080557155,658.80004867558,2803.70019425926,2949.60009726962,2646.64013672,384.820037762597,611.880065918,369.260040197545,509.780029168237,483.420043659812,556.820068018341,2902.33780494376,3186.70019531,2751.04028223799,2028.14013672,1665.42016602,1221.58007812,217.020019520672,415.480041229749,278.100005910812,375.540038928066,222.720016364755,282.800018177284,515.980041376725,472.120025344584,353.435642867208
Cytidine,1038.62011694071,911.960083008,680.380065884143,813.640075684,937.140075298708,604.560058559669,788.240051172785,655.360046199038,782.220031622627,372.540038840824,501.480041365119,235.500015124813,2376.44018490452,2989.44018496012,2147.08007763607,609.860046387,1116.86010742,1169.44006271839,54424.3437426476,39864.5038975958,35568.8242187996,20398.421875,24546.8007812,14701.8808594,15780.5410139657,24253.6425741832,9637.04101449892,5527.52050622811,7270.48046875,6086.46044913957
Pyridoxal 5-phosphate (PLP),11265.0009766,14625.1210938,10573.631559315,9125.80078125,12245.8808594,13167.7207030997,9450.18064308509,12143.0810546998,9336.13478209009,7109.18066405998,6936.46044922,7690.02050781,9196.06054688,5653.70019530999,8506.06054688,9078.60058593999,7298.92041016,9202.58105469,7685.36035155996,8114.34488819072,8983.52050781,8167.42041016,8957.90039062,8266.16015625,7993.90039062,8072.84033203,8004.06054688,11560.3808594,9499.54101561989,9920.92089843986
Adenosine,406563.375,365791.0625,435744.468673385,53064.9023399334,94705.2031225146,56067.9453125,282031.249932437,375485.281200775,495007.1875,2977.62011648533,3690.34033126592,3180.48022413171,14437.5410136744,24168.5019457697,13349.78125,681115.749726997,604769.8125,868126.999765546,1719238,1035756.49989041,793564.625,223764.078125,336011.65625,220826.21875,178373.312481789,275881.062487642,177916.359373401,181445.2968589,140568.65625,136306.062482572
Tryptophan,271117.249963707,210845.390577464,210478.359348041,1751040.625,1921428.6244824,2142496.4994061,651462.93735223,94926.7265525679,103471.367187065,3063810.24991253,2733511.74999998,2380100.24977662,1673255.74965346,1544464.125,1570203.12485627,354.8800354,12608.760741969,419.640014573678,1088391.99985599,932157.6875,1163242.37486227,1582776.37462142,1266284.874652,1158694.4995662,1428278.99986081,1701491.49937486,1359886.49992872,843.800048433242,630.840026676798,680.660033843411
Guanosine,7358.68066138747,9049.58105344351,6840.0405271881,3614.48022449759,4977.06054656579,3683.3403307254,3354.66015593997,3495.64013672,4660.38037033779,1019.22009277,839.320068359,927.600036381163,2727.4802240348,3277.48022461,2356.02026324812,9439.32030993692,8038.06054645446,9132.60058594,40205.7617077529,33454.941396951,141218.656217804,14261.6611301099,12586.6806629448,7574.78075940284,9672.6806620959,9309.60058594,6512.04052734,20588.5410107368,21972.8007788466,24268.1816406
Riboflavin,28747.0820231615,22039.9023427528,21192.3417969,7449.28076172,13756.640625,8402.54101496626,12216.4804688,17668.4804687999,23831.1621055122,112.700004536621,195.580017004545,132.800003051999,82.6203318395672,44.8194585378992,123.187567565234,22503.3808531814,24024.3007772513,25676.9414062,2914.74023324217,1492.90014630989,2116.88012645755,7140.18066259274,7635.30077868798,6252.76025376755,592.020019531,660.420043945,485.080047327975,15894.1210938,20136.5605427285,20914.5214844
Thiamine,410235.281141327,869254.937499993,745624.437373566,878370.562457163,765371.249913665,1203439.24971328,349837.9375,71211.9218527253,141975.312499999,2584001.49967358,3362575.24999998,2637169.75,1669458.49966791,1410166.5,2094657.73449791,375228.46872773,537353.312499998,366083.846184687,411015.593671957,256827.796875,133065.749977306,527323.625,524087.312308108,603348.624934481,1046273.90122616,1140956.24980015,1379278.37456725,206103.749999283,359916.874905888,303436.4999887
Leucine,12752324.9993034,12674169,12981853,13345981,13425407.9986026,13332705.9996011,13463695,13238862.999525,13011758.9996246,14127493.9997802,13862712.9997783,14102234.9995929,12621571,12529593.9999591,12144413.9999339,12960111,12702573.9990377,12996328.9996321,12543201.9997751,12113724.9988872,12092704.9986804,13112212,13174587,11974849,10700074,10887906.99958,11507937.9986592,11904244.9993948,12767534,12969394.9995926
Lysine,45003.8828125,40304.84375,39402.4023438,83547.34375,90636.6093749979,63153.6835938,51016.125,42863.5234375,31969.8613280997,167369.453125,159269.953125,149753.6875,100980.765625,112081.429688,107817.6875,20300.2011719,27816.2226561991,29719.1230469,76798.3828125,65077.304687499,55458.3242188,104540.289062,115479.171874997,82280.546875,133297.921875,132579.265625,118888.328124998,15352.640625,21182.3222656,22556.8007811998
Alanine,13463.6005855489,57036.5624959881,65303.0234363756,1096106.75,1008043.68747522,969506.124957867,406384.093693722,55668.5429688,66159.3281137071,1425630.875,1389979.24995627,1520756.74951923,216347.234301516,107597.664058126,89964.6640543198,2515.68017577997,5261.86035065581,2816.72021484,96187.2499772843,57918.6640599698,43344.4218686595,11678.46093663,12954.2607422,8650.44042969,7147.06405409033,7235.68066383439,6637.64062499997,2396.24023438,3808.48022362376,3412.80029297
Tyrosine,11063.7011715953,6098.06054688,6129.20019531,24175.3613226885,34411.8632765551,31971.9824077638,12981.4414062,4858.32031133776,6126.96044860412,1562.36010716331,1058.08007811999,962.660095205845,3549.20019455001,3068.20019522417,4045.66039932475,307.920013214158,1095.86010715575,216.280014011869,64526.1054688,44362.625,54233.1640571626,66281.5859375,85132.96875,55957.1054688,20546.6816350476,15808.6611284063,20143.1015570587,151.660003615095,117.220008845079,212.000015240608
Proline,6515.06054688,265773.875,317604.625,7302112.49873205,3421547.99871626,6736695.99999996,1246638.62499999,49748.3437424912,141116.656249522,13115311.9999979,13322377.9996217,13478507.9991178,13670650.9994713,13513121.9996215,13677915.9997208,2218.20019494418,26999.4824219,2319.86010717173,1132272.12496854,2064273.7493912,689253.874999998,860063.499782933,1176291.62474906,800182.562415319,101448.40625,74377.5859265247,419547.874909377,10818.1806641,5373.50048827998,4304.30029243593
Isoleucine,13584638,12720726.9992235,13411427.9993822,13769537.9997129,14132178,13834406,13679506.9998192,13634478,14021447,14514322,14440385.999805,14518832,12867369,13072667.9994347,13229895,13049967.9999052,13482917,13620931.9989192,12678759,12707268.9992094,12208235.9994702,13240756.9992806,13587878.99986,13022043.9999377,11583855,11005344.9986036,11808047,12171178,12889719.9999277,13302497
Aspartic acid,110.560005187999,327.860015869,157.900009155,360.400024414,716.500061035,1403.72009277,1160.2401123,707.367359047164,1145.62011719,450.000030517983,388.440032959,313.16003418,35411.0039062,66139.0625,53952.921875,78.1000061035,98.5800094604,97.9400100708,6076.18066405994,2577.58007812,3017.90014648,43137.4218749995,38162.6835938,33742.1835937999,75858.3437499994,72420.6874999984,94650.328124999,93.7400054932,123.259764804053,137.920013428
Glutamine,800978.9375,639843.374999994,738237.25,1386633.875,1591528.625,1403432,1066302.49999999,721627.0625,632345.687499998,3438827.5,2967870.25,2479591,1804858.74999998,1743478.875,2653596.49999996,330744.78125,574179.1875,444143.5625,1028032.0625,929702.6875,964721.5,2279196.99999997,2115936.74999996,1931671.62499999,2231749.74999996,2371435.25,2460949.49999996,252724.3125,422868.5,389169.03125
Phenylalanine,4758441.49999998,2836050.9995967,3260472.24983606,13459898.999986,13688244,13186034,11144036.9979145,1999593.625,2219949.5,14467163,14261434.9998862,14316741.9992314,14294509,13731654.9988699,13962738,3662.98022379962,319198.249992233,3034.40014648,13135609,13226957.9989253,13391100,13727073.9998265,13736259.9997277,13739904.9995413,13332907,13409432.9999229,13881291,20859.4609375,14495.8613258086,10179.6210938
Arginine,5659774,5489818,5965531.49999995,6583719.49999996,6976528,6702382.5,7696279.5,7131359,7071790,10512581,10904482,9854760,4239593.5,4073725,4551246.5,6354500.99999993,8489502,8982129,6884261,7058736.99999989,5906801.5,6154799,4041067.5,2652753.25,10309157,11227621,10590087,3860641.5,4254432,5695221.49999996
Urea,10941400.9990708,9802453.99930841,10587041,9205788.99828812,7735797,9190295.99687823,10113852,9317868,8395817.9978471,11881893,11153606.9987588,12128229,9324004,8041344.99630188,9902871,9864040.99848231,10389568.9978758,10510944,9245656.99830612,9133184.99965773,6091870.9998538,11337093,10898570,11217142.9983734,11173089,11129853,11321484,3540720.25,9747471.99991778,10226297
Glucose,13492.7011719,10329.6806641,10642.1210919409,12551.2207025837,15365.78125,16045.5009766,10380.4003934186,9113.3203125,7379.52050781,19003.4218739925,17825.7812483045,21515.5820312,230.780014038,281.640014500209,214.660018837572,6656.16064453,6860.56054688,7018.64062323806,536.060058594,229.000015178221,280.700012207,378.580016925956,298.980010797319,205.500015163913,219.740020752,212.140014648,210.620010375998,402.740020647777,197.800018310998,179.940017682376
Cellobiose,203.908895071755,1920.12011591692,1704.02014111352,1626.50012206999,2097.82006836,2848.90014648,1314.560058069,1202.76013130667,963.160094810841,2436.88012694995,2661.22021347049,2081.06005836091,122.920005733163,212.260009689327,111.340011577644,194.480010986,306.900024281088,188.240020752,2596.20019430653,1719.44006237421,173.9400177,2660.96020508,2526.10009762755,1543.38012695,226.020019429052,476.020019337606,706.160033802438,105.560005188,283.88000468651,274.42001342799
Glycine,38533.2421875,49174.7617188,41723.144526865,29513.441401612,35720.0429688,30853.28125,39342.8437454411,45359.9648438,45317.3828045533,21704.5214844,25352.9218640919,23167.9414048194,844.000060965716,272.26000971777,339.620025570286,50705.7226492262,53473.5038992108,53932.5234275036,20156.4023406217,19007.3222591033,14293.28125,578.880065862416,2278.14013665205,891.400085294852,377.540039055398,329.720031653589,298.500030518,32786.8437453844,32067.2421875,32883.3437488608
