"Time","A. oct133SNM_A6","A. oct133SNM_B6","A. oct133SNM_C6","A. oct133SNM_D6","A. oct133SNM_E6","A. oct133SNM_F6","A. oct133SNM_G6","A. oct133SNM_H6","A. oct211SNM_A7","A. oct211SNM_B7","A. oct211SNM_C7","A. oct211SNM_D7","A. oct211SNM_E7","A. oct211SNM_F7","A. oct211SNM_G7","A. oct211SNM_H7","A. oct259SNM_A8","A. oct259SNM_B8","A. oct259SNM_C8","A. oct259SNM_D8","A. oct259SNM_E8","A. oct259SNM_F8","A. oct259SNM_G8","A. oct259SNM_H8","C. acn33_SNM_A6","C. acn33_SNM_B6","C. acn33_SNM_C6","C. acn33_SNM_D6","C. acn33_SNM_E6","C. acn33_SNM_F6","C. acn33_SNM_G6","C. acn33_SNM_H6","C. acn86_SNM_A7","C. acn86_SNM_B7","C. acn86_SNM_C7","C. acn86_SNM_D7","C. acn86_SNM_E7","C. acn86_SNM_F7","C. acn86_SNM_G7","C. acn86_SNM_H7","C. acnes149_SNM_A8","C. acnes149_SNM_B8","C. acnes149_SNM_C8","C. acnes149_SNM_D8","C. acnes149_SNM_E8","C. acnes149_SNM_F8","C. acnes149_SNM_G8","C. acnes149_SNM_H8","C. avi32SNM_A9","C. avi32SNM_B9","C. avi32SNM_C9","C. avi32SNM_D9","C. avi32SNM_E9","C. avi32SNM_F9","C. avi32SNM_G9","C. avi32SNM_H9","C. avi181SNM_A10","C. avi181SNM_B10","C. avi181SNM_C10","C. avi181SNM_D10","C. avi181SNM_E10","C. avi181SNM_F10","C. avi181SNM_G10","C. avi181SNM_H10","C. avi208SNM_A11","C. avi208SNM_B11","C. avi208SNM_C11","C. avi208SNM_D11","C. avi208SNM_E11","C. avi208SNM_F11","C. avi208SNM_G11","C. avi208SNM_H11"
0.00888888888888889,0.059375,0.058375,0.060375,0.058375,0.058375,0.059375,0.058375,0.059375,0.082375,0.082375,0.082375,0.082375,0.082375,0.082375,0.081375,0.080375,0.066375,0.067375,0.066375,0.066375,0.068375,0.066375,0.066375,0.066375,0.071125,0.064125,0.060125,0.054125,0.048125,0.047125,0.037125,0.006125,0.053125,0.053125,0.054125,0.051125,0.053125,0.055125,0.054125,0.054125,0.054125,0.050125,0.050125,0.050125,0.050125,0.049125,0.051125,0.050125,0.052375,0.066375,0.053375,0.052375,0.051375,0.051375,0.050375,0.052375,0.059375,0.058375,0.059375,0.060375,0.060375,0.065375,0.062375,0.060375,0.066375,0.066375,0.065375,0.066375,0.065375,0.065375,0.066375,0.065375
0.508888888888889,0.05875,0.05875,0.05975,0.05875,0.05875,0.05975,0.05875,0.05975,0.08475,0.08475,0.08475,0.08575,0.08475,0.08475,0.08375,0.08175,0.06775,0.06675,0.06775,0.06775,0.06775,0.06775,0.06675,0.06675,0.07125,0.06725,0.06025,0.05525,0.04925,0.04725,0.03825,0.00724999999999999,0.05425,0.05525,0.05425,0.05525,0.05425,0.05525,0.05625,0.05525,0.05725,0.05125,0.05125,0.05025,0.05125,0.05025,0.05125,0.05125,0.05575,0.10775,0.05675,0.05575,0.05575,0.05575,0.05475,0.05575,0.06175,0.05975,0.06075,0.06175,0.06175,0.06775,0.06475,0.06275,0.07175,0.07275,0.07175,0.07175,0.07075,0.07175,0.07275,0.07275
1.00888888888889,0.061,0.061,0.062,0.061,0.061,0.061,0.059,0.061,0.088,0.09,0.09,0.089,0.089,0.087,0.087,0.086,0.069,0.07,0.07,0.069,0.07,0.069,0.068,0.069,0.073375,0.073375,0.061375,0.055375,0.050375,0.048375,0.039375,0.00737499999999999,0.056375,0.057375,0.056375,0.056375,0.055375,0.056375,0.057375,0.055375,0.058375,0.053375,0.053375,0.052375,0.051375,0.051375,0.052375,0.053375,0.066,0.157,0.064,0.063,0.064,0.062,0.063,0.065,0.068,0.066,0.067,0.068,0.068,0.074,0.072,0.07,0.079,0.083,0.078,0.08,0.079,0.08,0.08,0.08
1.50888888888889,0.061125,0.061125,0.063125,0.061125,0.060125,0.062125,0.061125,0.062125,0.092125,0.093125,0.092125,0.092125,0.092125,0.090125,0.090125,0.089125,0.069125,0.071125,0.070125,0.068125,0.069125,0.068125,0.070125,0.069125,0.075625,0.077625,0.061625,0.054625,0.049625,0.049625,0.039625,0.00762499999999999,0.056625,0.055625,0.057625,0.056625,0.055625,0.057625,0.058625,0.056625,0.059625,0.054625,0.054625,0.053625,0.053625,0.052625,0.053625,0.053625,0.072125,0.184125,0.071125,0.070125,0.072125,0.066125,0.067125,0.071125,0.076125,0.074125,0.074125,0.076125,0.075125,0.080125,0.079125,0.077125,0.086125,0.091125,0.085125,0.086125,0.085125,0.086125,0.087125,0.085125
2.00888888888889,0.063,0.061,0.064,0.062,0.061,0.062,0.062,0.06,0.093,0.095,0.093,0.093,0.092,0.092,0.091,0.09,0.071,0.071,0.071,0.069,0.069,0.071,0.07,0.071,0.07475,0.08075,0.06175,0.05675,0.04975,0.04975,0.03975,0.00774999999999999,0.05575,0.05675,0.05775,0.05675,0.05675,0.05775,0.05875,0.05875,0.06075,0.05475,0.05575,0.05475,0.05375,0.05375,0.05475,0.05575,0.078,0.212,0.077,0.077,0.079,0.078,0.075,0.077,0.083,0.08,0.081,0.082,0.082,0.086,0.085,0.083,0.091,0.099,0.091,0.092,0.091,0.091,0.091,0.09
2.50888888888889,0.063125,0.062125,0.063125,0.062125,0.061125,0.063125,0.062125,0.061125,0.092125,0.094125,0.092125,0.093125,0.091125,0.091125,0.090125,0.090125,0.072125,0.071125,0.072125,0.070125,0.071125,0.071125,0.070125,0.071125,0.076875,0.085875,0.062875,0.058875,0.050875,0.049875,0.040875,0.00787499999999999,0.056875,0.056875,0.056875,0.057875,0.058875,0.058875,0.058875,0.058875,0.060875,0.054875,0.055875,0.054875,0.054875,0.053875,0.054875,0.056875,0.084125,0.234125,0.084125,0.083125,0.078125,0.081125,0.079125,0.084125,0.088125,0.086125,0.087125,0.088125,0.088125,0.092125,0.091125,0.089125,0.096125,0.105125,0.095125,0.096125,0.096125,0.096125,0.097125,0.095125
3.00888888888889,0.063,0.062,0.063,0.062,0.061,0.063,0.063,0.062,0.091,0.091,0.091,0.092,0.091,0.09,0.09,0.088,0.072,0.072,0.072,0.071,0.072,0.072,0.07,0.071,0.076375,0.086375,0.062375,0.058375,0.050375,0.050375,0.040375,0.00737499999999999,0.057375,0.056375,0.056375,0.058375,0.057375,0.058375,0.059375,0.058375,0.061375,0.054375,0.056375,0.055375,0.055375,0.055375,0.054375,0.057375,0.088,0.252,0.087,0.088,0.083,0.087,0.083,0.09,0.093,0.091,0.092,0.093,0.093,0.097,0.096,0.093,0.099,0.11,0.1,0.101,0.1,0.101,0.101,0.1
3.50888888888889,0.063,0.062,0.064,0.062,0.061,0.063,0.062,0.062,0.089,0.089,0.089,0.091,0.089,0.089,0.088,0.086,0.071,0.072,0.072,0.071,0.072,0.072,0.07,0.071,0.077375,0.089375,0.062375,0.058375,0.050375,0.050375,0.039375,0.00737499999999999,0.057375,0.056375,0.057375,0.058375,0.057375,0.058375,0.060375,0.058375,0.061375,0.055375,0.056375,0.056375,0.056375,0.054375,0.055375,0.057375,0.091,0.267,0.09,0.093,0.092,0.091,0.087,0.094,0.097,0.095,0.096,0.097,0.097,0.101,0.099,0.097,0.103,0.115,0.103,0.105,0.103,0.104,0.104,0.103
4.00888888888889,0.064,0.062,0.064,0.063,0.061,0.063,0.061,0.063,0.087,0.087,0.087,0.09,0.088,0.087,0.085,0.085,0.072,0.072,0.073,0.072,0.072,0.072,0.07,0.072,0.076375,0.090375,0.062375,0.058375,0.051375,0.050375,0.040375,0.00837499999999999,0.057375,0.056375,0.057375,0.059375,0.058375,0.059375,0.059375,0.057375,0.061375,0.055375,0.056375,0.057375,0.056375,0.055375,0.054375,0.057375,0.094,0.279,0.094,0.094,0.096,0.096,0.091,0.097,0.101,0.099,0.1,0.1,0.101,0.105,0.103,0.101,0.108,0.119,0.108,0.108,0.108,0.107,0.108,0.106
4.50888888888889,0.063,0.062,0.064,0.063,0.061,0.062,0.06,0.063,0.085,0.084,0.085,0.087,0.085,0.085,0.082,0.083,0.072,0.072,0.073,0.071,0.073,0.072,0.07,0.072,0.076375,0.092375,0.062375,0.058375,0.051375,0.051375,0.040375,0.010375,0.056375,0.056375,0.057375,0.058375,0.057375,0.058375,0.058375,0.058375,0.061375,0.055375,0.056375,0.055375,0.056375,0.056375,0.055375,0.057375,0.097,0.285,0.097,0.096,0.098,0.098,0.095,0.099,0.104,0.102,0.103,0.102,0.104,0.109,0.106,0.105,0.11,0.123,0.111,0.111,0.11,0.11,0.111,0.109
