Metabolite,logFC,AveExpr,t,P.Value,adj.P.Val,B,Contrast,TargetCluster
X5936_151.146_4.565_nan,11.572917258640796,25.795828224668004,13.048577142750327,7.502437583197212e-28,3.8074870734725854e-24,50.773718265226364,1_vs_rest,1
X984_218.139_0.326_3.hydroxypentanoyl.leucine..M.H..,11.219437437014106,26.928942573562576,11.972965186890775,1.0620781307339124e-24,2.6950232567373026e-21,44.04301296129783,1_vs_rest,1
X5931_301.285_4.562_nan,11.266280336321392,26.658589161981233,11.334968475655455,7.639427704997584e-23,9.692523900715686e-20,40.062633536999186,1_vs_rest,1
X1702_226.069_0.392_nan,10.386637366999073,26.795946662296586,11.3537480795817,6.739100406296604e-23,9.692523900715686e-20,40.17950289588696,1_vs_rest,1
X9114_331.284_9.109_Spectral.Match.to.1.Hexadecanoyl.sn.glycerol.from.NIST14,9.068602569324064,25.402522419600416,11.281454786686533,1.091862775646109e-22,1.1082407172808006e-19,39.72972940170666,1_vs_rest,1
X2566_431.214_0.533_nan,10.411686673508395,26.687949291054228,11.116767758932774,3.271580438203898e-22,2.7672117873141304e-19,38.706446319897246,1_vs_rest,1
X5571_284.118_3.709_nan,10.424465954445283,25.73321190678506,11.071296172105479,4.427297311655762e-22,3.209790550950428e-19,38.424257850599744,1_vs_rest,1
X9110_529.298_9.108_.2S_3S_4S_5R_6R..6..3.benzoyloxy.2.hydroxypropoxy..3_4_5.trihydroxyoxane.2.carboxylic.acid,9.11880856285343,25.150636349218065,10.923332523856606,1.182984653829974e-21,7.504558897733898e-19,37.507170283927856,1_vs_rest,1
X9115_524.343_9.108_Spectral.Match.to.1.Hexadecanoyl.sn.glycerol.from.NIST14,9.100935866270483,25.312118289215483,10.501875606004145,1.9165177834132384e-20,8.842116137111077e-18,34.90610357984185,1_vs_rest,1
X5014_235.098_2.452_nan,10.1623178756278,25.351782849012974,10.2935435522329,7.525102523119622e-20,3.074543975997626e-17,33.6275464451517,1_vs_rest,1
X1419_276.164_0.37_nan,9.757961060985897,25.999348766182923,10.286590577302924,7.875679150338746e-20,3.074543975997626e-17,33.5849677955328,1_vs_rest,1
