filename,ATTRIBUTE_SynCom,ATTRIBUTE_Sample_type,ATTRIBUTE_Time,ATTRIBUTE_Replicate,ATTRIBUTE_Sau,ATTRIBUTE_SC
Control_R1.mzML,Control,Blank,T1,R1,No,No
Control_R2.mzML,Control,Blank,T1,R2,No,No
Control_R3.mzML,Control,Blank,T1,R3,No,No
Control_R4.mzML,Control,Blank,T1,R4,No,No
Control_R5.mzML,Control,Blank,T1,R5,No,No
Control_R6.mzML,Control,Blank,T1,R6,No,No
SC10_T1_R1.mzML,SC10,Sample,T1,R1,No,Yes
SC10_T1_R2.mzML,SC10,Sample,T1,R2,No,Yes
SC10_T1_R3.mzML,SC10,Sample,T1,R3,No,Yes
SC10_T2_R1.mzML,SC10,Sample,T2,R1,No,Yes
SC10_T2_R2.mzML,SC10,Sample,T2,R2,No,Yes
SC10_T2_R3.mzML,SC10,Sample,T2,R3,No,Yes
SC10_T3_R1.mzML,SC10,Sample,T3,R1,No,Yes
SC10_T3_R2.mzML,SC10,Sample,T3,R2,No,Yes
SC10_T3_R3.mzML,SC10,Sample,T3,R3,No,Yes
SC10_TF_R1.mzML,SC10,Sample,TF,R1,Yes,Yes
SC10_TF_R2.mzML,SC10,Sample,TF,R2,Yes,Yes
SC10_TF_R3.mzML,SC10,Sample,TF,R3,Yes,Yes
SC11_T1_R1.mzML,SC11,Sample,T1,R1,No,Yes
SC11_T1_R2.mzML,SC11,Sample,T1,R2,No,Yes
SC11_T1_R3.mzML,SC11,Sample,T1,R3,No,Yes
SC11_T2_R1.mzML,SC11,Sample,T2,R1,No,Yes
SC11_T2_R2.mzML,SC11,Sample,T2,R2,No,Yes
SC11_T2_R3.mzML,SC11,Sample,T2,R3,No,Yes
SC11_T3_R1.mzML,SC11,Sample,T3,R1,No,Yes
SC11_T3_R2.mzML,SC11,Sample,T3,R2,No,Yes
SC11_T3_R3.mzML,SC11,Sample,T3,R3,No,Yes
SC11_TF_R1.mzML,SC11,Sample,TF,R1,Yes,Yes
SC11_TF_R2.mzML,SC11,Sample,TF,R2,Yes,Yes
SC11_TF_R3.mzML,SC11,Sample,TF,R3,Yes,Yes
SC12_T1_R1.mzML,SC12,Sample,T1,R1,No,Yes
SC12_T1_R2.mzML,SC12,Sample,T1,R2,No,Yes
SC12_T1_R3.mzML,SC12,Sample,T1,R3,No,Yes
SC12_T2_R1.mzML,SC12,Sample,T2,R1,No,Yes
SC12_T2_R2.mzML,SC12,Sample,T2,R2,No,Yes
SC12_T2_R3.mzML,SC12,Sample,T2,R3,No,Yes
SC12_T3_R1.mzML,SC12,Sample,T3,R1,No,Yes
SC12_T3_R2.mzML,SC12,Sample,T3,R2,No,Yes
SC12_T3_R3.mzML,SC12,Sample,T3,R3,No,Yes
SC12_TF_R1.mzML,SC12,Sample,TF,R1,Yes,Yes
SC12_TF_R2.mzML,SC12,Sample,TF,R2,Yes,Yes
SC12_TF_R3.mzML,SC12,Sample,TF,R3,Yes,Yes
SC13_T1_R1.mzML,SC13,Sample,T1,R1,No,Yes
SC13_T1_R2.mzML,SC13,Sample,T1,R2,No,Yes
SC13_T1_R3.mzML,SC13,Sample,T1,R3,No,Yes
SC13_T2_R1.mzML,SC13,Sample,T2,R1,No,Yes
SC13_T2_R2.mzML,SC13,Sample,T2,R2,No,Yes
